track,sample,hours,lat,lon,pressure
2,0.0,6,18.04,117.31,1003.4
2,0.0,12,18.3,116.75,1001.7
2,0.0,18,18.39,115.71,1000.6
2,0.0,24,18.59,115.12,998.3
2,0.0,30,19.23,114.41,995.3
2,0.0,36,19.93,114.13,994.0
2,0.0,42,20.53,113.49,992.7
2,0.0,48,21.3,112.82,985.2
2,0.0,54,21.97,112.07,990.7
2,0.0,60,22.77,111.34,995.5
2,0.0,66,23.48,110.71,998.9
2,0.0,72,23.65,110.46,998.4
2,0.0,78,24.04,110.31,1003.7
2,0.0,84,24.02,110.08,1003.0
2,0.0,90,23.95,109.55,1003.8
2,0.0,96,23.36,109.09,1003.9
30,0.0,150,13.09,-122.52,1004.2
30,0.0,156,12.99,-123.37,1005.0
30,0.0,162,13.08,-123.86,1000.7
30,0.0,168,13.48,-124.42,1006.8
30,0.0,174,13.66,-124.82,1005.1
30,0.0,180,13.69,-125.64,1005.0
30,0.0,186,13.6,-125.87,1003.2
30,0.0,192,13.34,-126.78,1002.0
30,0.0,198,13.47,-127.23,1004.1
30,0.0,204,13.8,-127.1,1004.0
30,0.0,210,13.61,-127.27,1004.3
30,0.0,216,13.87,-127.37,1004.2
30,0.0,222,13.53,-127.21,1003.2
30,0.0,228,13.26,-126.81,1005.3
30,0.0,234,13.32,-126.69,1006.5
30,0.0,240,13.08,-126.58,1006.1
30,0.0,246,12.97,-126.08,1006.0
30,0.0,252,12.44,-126.14,1006.0
30,0.0,258,12.61,-125.88,1005.5
30,0.0,264,12.45,-125.4,1006.1
30,0.0,270,12.93,-124.68,1006.6
30,0.0,276,13.33,-123.75,1006.2
30,0.0,282,14.27,-122.32,1004.8
30,0.0,288,14.27,-121.8,1005.3
30,0.0,294,14.16,-119.93,1004.6
30,0.0,300,14.19,-118.57,1007.0
32,0.0,156,14.71,-110.9,1005.2
32,0.0,162,15.26,-111.13,1005.0
32,0.0,168,15.36,-111.91,1005.5
32,0.0,174,15.69,-113.06,999.0
32,0.0,180,15.88,-113.96,998.5
32,0.0,186,16.24,-115.06,993.2
32,0.0,192,16.41,-115.56,996.1
32,0.0,198,16.29,-116.04,993.3
32,0.0,204,16.58,-116.34,987.5
32,0.0,210,16.34,-116.51,988.8
32,0.0,216,16.0,-116.66,989.4
